platform,workload,mode,version,launch,name,param,meanMs,minMs,stdevMs,samples,inner,sampledMs
windows-final,objects--10000,compiled,candidate,3,objects,10000,0.0165901,0.0163937,0.0003113,283,64,300.4803
windows-final,objects--10000,compiled,candidate,4,objects,10000,0.0167191,0.0163937,0.001023,281,64,300.6754
windows-final,objects--10000,compiled,candidate,5,objects,10000,0.0170545,0.0163922,0.0064396,275,64,300.1594
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,baseline,1,allocation-partitions-serial-1,8192,2.6937634,1.958,1.1653595,112,1,301.7015
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,baseline,2,allocation-partitions-serial-1,8192,3.019054,2.0093,1.258113,100,1,301.9054
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,baseline,3,allocation-partitions-serial-1,8192,2.5669624,1.692,1.2613818,117,1,300.3346
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,baseline,4,allocation-partitions-serial-1,8192,2.9020971,1.9316,1.285034,104,1,301.8181
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,baseline,5,allocation-partitions-serial-1,8192,2.7328091,1.7805,1.4793858,110,1,300.609
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,candidate,1,allocation-partitions-serial-1,8192,0.9121109,0.5366,0.5820831,165,2,300.9966
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,candidate,2,allocation-partitions-serial-1,8192,0.9292404,0.6148,0.573372,162,2,301.0739
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,candidate,3,allocation-partitions-serial-1,8192,0.8168861,0.5383,0.703866,368,1,300.6141
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,candidate,4,allocation-partitions-serial-1,8192,0.9458283,0.5828,0.6289943,159,2,300.7734
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8192,compiled,candidate,5,allocation-partitions-serial-1,8192,0.8256264,0.5221,0.7658953,364,1,300.528
windows-final,worker-allocation-boundaries-allocation-partitions-serial-1-8193,compiled,baseline,1,allocation-partitions-serial-1,8193,4.7144359,2.0227,3.9359739,64,1,301.7239
